Instrument,Option Type,Strike Price,Expiration Date,Last Price (USD),Bid Price (USD),Ask Price (USD),Bid IV,Ask IV,Delta,Gamma,Theta,Vega,open_interest,total traded volume,monetary volume
BTC-22APR25-76000-C,call,76000.0,2025-04-22,0.0,8317.9545,13630.9935,0.8,616.05,1.0,0.0,-0.00352,8e-05,0.0,0.0,0.0
BTC-22APR25-76000-P,put,76000.0,2025-04-22,8.709900000000001,0.0,8.709900000000001,0.8,161.88,0.0,0.0,-0.00027,8e-05,9.5,2.7,30.23
BTC-22APR25-78000-C,call,78000.0,2025-04-22,0.0,6271.128,11758.365000000002,0.8,563.33,0.99996,0.0,-0.20878,0.005,0.0,0.0,0.0
BTC-22APR25-78000-P,put,78000.0,2025-04-22,8.709900000000001,0.0,8.709900000000001,0.8,133.98,-4e-05,0.0,-0.02305,0.005,69.1,14.3,124.54
BTC-22APR25-80000-C,call,80000.0,2025-04-22,0.0,4224.3015000000005,9885.7365,0.8,508.39,0.99879,0.0,-4.87961,0.11677,0.0,0.0,0.0
BTC-22APR25-80000-P,put,80000.0,2025-04-22,8.709900000000001,0.0,8.709900000000001,0.8,106.26,-0.00121,0.0,-0.83277,0.11677,57.1,17.4,176.49
BTC-22APR25-81000-C,call,81000.0,2025-04-22,0.0,3919.455,8971.197,0.8,482.05,0.9952,1e-05,-16.98726,0.40649,0.0,0.0,0.0
BTC-22APR25-81000-P,put,81000.0,2025-04-22,8.709900000000001,0.0,8.709900000000001,0.8,92.4,-0.0048,1e-05,-3.71321,0.40649,40.4,9.3,217.96
BTC-22APR25-82000-C,call,82000.0,2025-04-22,5182.3904999999995,4921.0935,5225.94,0.8,134.79,0.98435,2e-05,-47.83266,1.14535,2.1,1.1,5265.52
BTC-22APR25-82000-P,put,82000.0,2025-04-22,8.709900000000001,0.0,17.419800000000002,0.8,86.51,-0.01565,2e-05,-13.70914,1.14535,74.4,38.0,889.91
BTC-22APR25-83000-C,call,83000.0,2025-04-22,4790.445,3919.455,4180.752,0.8,104.85,0.98042,2e-05,-48.18242,1.38683,2.0,0.7,2371.56
BTC-22APR25-83000-P,put,83000.0,2025-04-22,8.709900000000001,0.0,17.419800000000002,0.8,71.37,-0.01958,2e-05,-14.64252,1.38683,75.4,39.5,2175.9
BTC-22APR25-84000-C,call,84000.0,2025-04-22,4180.752,2917.8165000000004,3179.1135,0.8,84.39,0.97332,4e-05,-49.97093,1.79987,314.6,311.7,1048472.94
BTC-22APR25-84000-P,put,84000.0,2025-04-22,8.709900000000001,0.0,17.419800000000002,0.8,55.99,-0.02668,4e-05,-16.57295,1.79987,102.2,50.9,5245.64
BTC-22APR25-85000-C,call,85000.0,2025-04-22,2046.8265,1916.1779999999999,2221.0245,0.8,69.89,0.96218,7e-05,-48.46639,2.40127,30.9,24.6,48151.05
BTC-22APR25-85000-P,put,85000.0,2025-04-22,17.419800000000002,8.709900000000001,26.129699999999996,35.7,43.42,-0.03781,7e-05,-17.90815,2.40097,96.3,114.2,25923.51
BTC-22APR25-86000-C,call,86000.0,2025-04-22,2046.8265,958.0889999999999,1219.386,0.8,45.73,0.86218,0.00022,-108.18644,6.42313,90.9,37.6,49746.52
BTC-22APR25-86000-P,put,86000.0,2025-04-22,78.3891,60.9693,78.3891,32.39,35.1,-0.13782,0.00022,-69.08697,6.42313,58.7,100.2,24187.63
BTC-22APR25-86500-C,call,86500.0,2025-04-22,1088.7375,566.1435,827.4404999999999,11.57,42.97,0.72919,0.00036,-153.5068,9.65888,7.1,7.8,7127.17
BTC-22APR25-86500-P,put,86500.0,2025-04-22,165.4881,130.6485,165.4881,29.26,32.9,-0.27081,0.00036,-153.5068,9.65888,25.9,91.9,21342.48
BTC-22APR25-87000-C,call,87000.0,2025-04-22,391.9455,365.81579999999997,409.3653,28.82,32.57,0.52787,0.00043,-182.04473,11.6081,134.7,112.4,88634.91
BTC-22APR25-87000-P,put,87000.0,2025-04-22,235.1673,296.1366,357.1059,27.91,33.17,-0.47213,0.00043,-182.04473,11.6081,72.3,97.8,58509.96
BTC-22APR25-87500-C,call,87500.0,2025-04-22,165.4881,156.7782,200.3277,28.42,32.64,0.31635,0.00039,-161.91788,10.38055,42.5,72.3,41905.13
BTC-22APR25-87500-P,put,87500.0,2025-04-22,435.495,522.594,653.2425,20.6,33.77,-0.68365,0.00039,-161.91788,10.38055,52.5,77.3,51477.6
BTC-22APR25-88000-C,call,88000.0,2025-04-22,139.35840000000002,69.67920000000001,95.80890000000001,30.82,34.45,0.16116,0.00026,-79.50359,7.13061,137.7,104.4,52194.97
BTC-22APR25-88000-P,put,88000.0,2025-04-22,1306.485,870.99,1132.287,0.8,45.72,-0.83884,0.00026,-114.93847,7.13061,45.8,55.5,51149.74
BTC-22APR25-88500-C,call,88500.0,2025-04-22,43.5495,34.839600000000004,52.25939999999999,34.32,38.04,0.083,0.00015,-38.72681,4.45825,69.1,83.9,32126.06
BTC-22APR25-88500-P,put,88500.0,2025-04-22,696.792,1350.0345,1654.8809999999999,0.8,60.87,-0.917,0.00015,-78.50324,4.45825,19.9,21.1,15534.05
BTC-22APR25-89000-C,call,89000.0,2025-04-22,26.129699999999996,17.419800000000002,34.839600000000004,37.4,43.04,0.04674,9e-05,-21.92164,2.85048,149.8,177.0,36920.08
BTC-22APR25-89000-P,put,89000.0,2025-04-22,1045.188,1829.0790000000002,2090.376,0.8,63.99,-0.95322,9e-05,-55.73593,2.85218,2.4,2.4,3455.5
BTC-22APR25-90000-C,call,90000.0,2025-04-22,17.419800000000002,8.709900000000001,26.129699999999996,46.94,56.24,0.02482,4e-05,-13.66711,1.69469,120.0,135.4,13996.76
BTC-22APR25-90000-P,put,90000.0,2025-04-22,0.0,2177.475,6271.128,0.8,393.36,-0.97518,4e-05,-42.61404,1.69469,0.0,0.0,0.0
BTC-22APR25-91000-C,call,91000.0,2025-04-22,8.709900000000001,0.0,8.709900000000001,0.8,60.01,0.0081,1e-05,-4.26588,0.64669,62.8,56.3,2653.33
BTC-22APR25-91000-P,put,91000.0,2025-04-22,0.0,3004.9155,7272.766500000001,0.8,425.38,-0.9919,1e-05,-17.70226,0.64669,0.0,0.0,0.0
BTC-22APR25-92000-C,call,92000.0,2025-04-22,8.709900000000001,0.0,17.419800000000002,0.8,80.04,0.00537,1e-05,-3.18833,0.44972,60.9,99.2,2873.26
BTC-22APR25-92000-P,put,92000.0,2025-04-22,0.0,2308.1235,8361.504,0.8,463.58,-0.99463,1e-05,-14.46183,0.44972,0.0,0.0,0.0
