Side,Instrument,Price (BTC),Price (USD),Mark Price (BTC),IV (%),Size,Entry Value,Underlying Price,Expiration Date,Strike Price,Option Type,Entry Date,BlockTrade IDs,BlockTrade Count,Combo ID,ComboTrade IDs,Trade ID
BUY,BTC-14APR25-83000-P,0.0055,467.37,0.00489535,52.84,1.4,654.32,84975.47,14-Apr-25,83000.0,Put,2025-04-12 14:36,,,,,361099925
BUY,BTC-14APR25-83000-P,0.0055,467.37,0.00489535,52.84,1.5,701.06,84975.47,14-Apr-25,83000.0,Put,2025-04-12 14:36,,,,,361099926
BUY,BTC-14APR25-83000-P,0.0055,467.37,0.00489535,52.84,8.4,3925.91,84975.47,14-Apr-25,83000.0,Put,2025-04-12 14:36,,,,,361099927
BUY,BTC-14APR25-83000-P,0.0055,467.37,0.00489535,52.84,13.7,6402.97,84975.47,14-Apr-25,83000.0,Put,2025-04-12 14:36,,,,,361099928
SELL,BTC-14APR25-84000-P,0.0085,721.53,0.00869356,48.26,5.0,3607.65,84886.34,14-Apr-25,84000.0,Put,2025-04-12 14:37,,,,,361100139
SELL,BTC-14APR25-85000-P,0.0135,1146.85,0.01366832,48.47,0.1,114.68,84952.18,14-Apr-25,85000.0,Put,2025-04-12 14:38,,,,,361100376
SELL,BTC-14APR25-85000-P,0.0135,1146.55,0.01383469,48.11,0.1,114.66,84929.4,14-Apr-25,85000.0,Put,2025-04-12 14:38,,,,,361100498
SELL,BTC-14APR25-88000-C,0.0031,263.28,0.00326974,51.86,0.1,26.33,84929.53,14-Apr-25,88000.0,Call,2025-04-12 14:38,,,,,361100278
SELL,BTC-15APR25-84000-P,0.012,1020.21,0.0123996,51.07,1.0,1020.21,85017.7,15-Apr-25,84000.0,Put,2025-04-12 14:35,,,,,361099797
BUY,BTC-15APR25-84000-P,0.012,1020.21,0.0123996,51.07,3.3,3366.69,85017.7,15-Apr-25,84000.0,Put,2025-04-12 14:35,,,,,361099798
BUY,BTC-15APR25-84000-P,0.012,1020.21,0.0123996,51.07,0.7,714.15,85017.7,15-Apr-25,84000.0,Put,2025-04-12 14:35,,,,,361099799
SELL,BTC-15APR25-86000-C,0.0125,1062.45,0.01307039,50.83,1.0,1062.45,84995.87,15-Apr-25,86000.0,Call,2025-04-12 14:36,,,,,361099895
SELL,BTC-15APR25-88000-C,0.006,509.98,0.00627331,52.52,0.8,407.98,84996.89,15-Apr-25,88000.0,Call,2025-04-12 14:35,,,,,361099771
SELL,BTC-18APR25-78000-P,0.0044,373.92,0.00430178,59.81,0.1,37.39,84982.12,18-Apr-25,78000.0,Put,2025-04-12 14:36,,,,,361099878
BUY,BTC-18APR25-78000-P,0.0045,382.0,0.00447372,59.68,0.1,38.2,84888.18,18-Apr-25,78000.0,Put,2025-04-12 14:36,,,,,361100106
SELL,BTC-18APR25-78000-P,0.0045,382.01,0.00447367,59.71,0.2,76.4,84891.96,18-Apr-25,78000.0,Put,2025-04-12 14:37,,,,,361100158
SELL,BTC-18APR25-78000-P,0.0044,373.88,0.00433995,59.77,0.1,37.39,84973.11,18-Apr-25,78000.0,Put,2025-04-12 14:38,,,,,361100307
SELL,BTC-18APR25-81000-P,0.01,849.12,0.01038628,55.96,0.3,254.74,84911.58,18-Apr-25,81000.0,Put,2025-04-12 14:37,,,,,361100175
BUY,BTC-18APR25-82000-P,0.013,1105.21,0.01311987,55.92,0.1,110.52,85016.38,18-Apr-25,82000.0,Put,2025-04-12 14:36,,,,,361099844
BUY,BTC-18APR25-82000-P,0.013,1105.18,0.01312234,55.9,0.2,221.04,85013.54,18-Apr-25,82000.0,Put,2025-04-12 14:36,,,,,361099846
BUY,BTC-18APR25-82000-P,0.013,1105.18,0.01312234,55.9,0.1,110.52,85013.54,18-Apr-25,82000.0,Put,2025-04-12 14:36,,,,,361099850
BUY,BTC-18APR25-82000-P,0.013,1105.18,0.01312234,55.9,1.1,1215.7,85013.54,18-Apr-25,82000.0,Put,2025-04-12 14:36,,,,,361099853
BUY,BTC-18APR25-82000-P,0.013,1105.18,0.01312234,55.9,0.2,221.04,85013.54,18-Apr-25,82000.0,Put,2025-04-12 14:36,,,,,361099856
BUY,BTC-18APR25-82000-P,0.013,1105.1,0.01312505,55.84,0.1,110.51,85007.55,18-Apr-25,82000.0,Put,2025-04-12 14:36,,,,,361099864
BUY,BTC-18APR25-82000-P,0.013,1105.1,0.01312505,55.84,0.1,110.51,85007.55,18-Apr-25,82000.0,Put,2025-04-12 14:36,,,,,361099865
BUY,BTC-18APR25-82000-P,0.013,1105.1,0.01312505,55.84,0.1,110.51,85007.55,18-Apr-25,82000.0,Put,2025-04-12 14:36,,,,,361099868
BUY,BTC-18APR25-82000-P,0.013,1105.1,0.01312505,55.84,1.3,1436.63,85007.55,18-Apr-25,82000.0,Put,2025-04-12 14:36,,,,,361099871
BUY,BTC-18APR25-82000-P,0.013,1105.1,0.01312505,55.84,0.1,110.51,85007.55,18-Apr-25,82000.0,Put,2025-04-12 14:36,,,,,361099872
