Side,Instrument,Price (BTC),Price (USD),Mark Price (BTC),IV (%),Size,Entry Value,Underlying Price,Expiration Date,Strike Price,Option Type,Entry Date,BlockTrade IDs,BlockTrade Count,Combo ID,ComboTrade IDs,Trade ID
BUY,BTC-15MAY25-90000-P,0.0001,10.44,2.445e-05,89.71,0.1,1.04,104377.87,15-May-25,90000.0,Put,2025-05-13 18:25,,,,,366185706
BUY,BTC-15MAY25-90000-P,0.0001,10.44,2.445e-05,89.71,0.1,1.04,104377.87,15-May-25,90000.0,Put,2025-05-13 18:25,,,,,366185707
SELL,BTC-15MAY25-90000-P,0.0001,10.44,2.445e-05,89.71,0.3,3.13,104377.87,15-May-25,90000.0,Put,2025-05-13 18:25,,,,,366185708
BUY,BTC-15MAY25-90000-P,0.0001,10.35,3.03e-06,106.0,0.1,1.03,103549.72,15-May-25,90000.0,Put,2025-05-14 07:35,,,,,366260120
BUY,BTC-15MAY25-90000-P,0.0001,10.35,3.03e-06,106.0,0.3,3.1,103549.72,15-May-25,90000.0,Put,2025-05-14 07:35,,,,,366260121
BUY,BTC-15MAY25-90000-P,0.0001,10.35,3.03e-06,106.0,0.6,6.21,103549.72,15-May-25,90000.0,Put,2025-05-14 07:35,,,,,366260122
BUY,BTC-15MAY25-92000-P,0.0002,20.84,7.237e-05,83.99,0.2,4.17,104192.15,15-May-25,92000.0,Put,2025-05-13 18:43,,,,,366187048
SELL,BTC-15MAY25-92000-P,0.0002,20.84,7.237e-05,83.99,3.9,81.28,104192.15,15-May-25,92000.0,Put,2025-05-13 18:43,,,,,366187049
SELL,BTC-15MAY25-92000-P,0.0002,20.84,7.237e-05,83.99,5.9,122.96,104192.15,15-May-25,92000.0,Put,2025-05-13 18:43,,,,,366187050
BUY,BTC-15MAY25-92000-P,0.0003,31.49,3.808e-05,94.67,0.1,3.15,104961.47,15-May-25,92000.0,Put,2025-05-13 19:46,,,,,366194541
