Underlying Price,BTC-4APR25-82000-P-0,BTC-4APR25-82000-P-1
-20000,,
-19900,,
-19800,,
-19700,,
-19600,,
-19500,,
-19400,,
-19300,,
-19200,,
-19100,,
-19000,,
-18900,,
-18800,,
-18700,,
-18600,,
-18500,,
-18400,,
-18300,,
-18200,,
-18100,,
-18000,,
-17900,,
-17800,,
-17700,,
-17600,,
-17500,,
-17400,,
-17300,,
-17200,,
-17100,,
-17000,,
-16900,,
-16800,,
-16700,,
-16600,,
-16500,,
-16400,,
-16300,,
-16200,,
-16100,,
-16000,,
-15900,,
-15800,,
-15700,,
-15600,,
-15500,,
-15400,,
-15300,,
-15200,,
-15100,,
-15000,,
-14900,,
-14800,,
-14700,,
-14600,,
-14500,,
-14400,,
-14300,,
-14200,,
-14100,,
-14000,,
-13900,,
-13800,,
-13700,,
-13600,,
-13500,,
-13400,,
-13300,,
-13200,,
-13100,,
-13000,,
-12900,,
-12800,,
-12700,,
-12600,,
-12500,,
-12400,,
-12300,,
-12200,,
-12100,,
-12000,,
-11900,,
-11800,,
-11700,,
-11600,,
-11500,,
-11400,,
-11300,,
-11200,,
-11100,,
-11000,,
-10900,,
-10800,,
-10700,,
-10600,,
-10500,,
-10400,,
-10300,,
-10200,,
-10100,,
-10000,,
-9900,,
-9800,,
-9700,,
-9600,,
-9500,,
-9400,,
-9300,,
-9200,,
-9100,,
-9000,,
-8900,,
-8800,,
-8700,,
-8600,,
-8500,,
-8400,,
-8300,,
-8200,,
-8100,,
-8000,,
-7900,,
-7800,,
-7700,,
-7600,,
-7500,,
-7400,,
-7300,,
-7200,,
-7100,,
-7000,,
-6900,,
-6800,,
-6700,,
-6600,,
-6500,,
-6400,,
-6300,,
-6200,,
-6100,,
-6000,,
-5900,,
-5800,,
-5700,,
-5600,,
-5500,,
-5400,,
-5300,,
-5200,,
-5100,,
-5000,,
-4900,,
-4800,,
-4700,,
-4600,,
-4500,,
-4400,,
-4300,,
-4200,,
-4100,,
-4000,,
-3900,,
-3800,,
-3700,,
-3600,,
-3500,,
-3400,,
-3300,,
-3200,,
-3100,,
-3000,,
-2900,,
-2800,,
-2700,,
-2600,,
-2500,,
-2400,,
-2300,,
-2200,,
-2100,,
-2000,,
-1900,,
-1800,,
-1700,,
-1600,,
-1500,,
-1400,,
-1300,,
-1200,,
-1100,,
-1000,,
-900,,
-800,,
-700,,
-600,,
-500,,
-400,,
-300,,
-200,,
-100,,
0,-1137728.844,1328913.812
100,-1136088.844,1327273.812
200,-1134448.844,1325633.812
300,-1132808.844,1323993.812
400,-1131168.844,1322353.812
500,-1129528.844,1320713.812
600,-1127888.844,1319073.812
700,-1126248.844,1317433.812
800,-1124608.844,1315793.812
900,-1122968.844,1314153.812
1000,-1121328.844,1312513.812
1100,-1119688.844,1310873.812
1200,-1118048.844,1309233.812
1300,-1116408.844,1307593.812
1400,-1114768.844,1305953.812
1500,-1113128.844,1304313.812
1600,-1111488.844,1302673.812
1700,-1109848.844,1301033.812
1800,-1108208.844,1299393.812
1900,-1106568.844,1297753.812
2000,-1104928.844,1296113.812
2100,-1103288.844,1294473.812
2200,-1101648.844,1292833.812
2300,-1100008.844,1291193.812
2400,-1098368.844,1289553.812
2500,-1096728.844,1287913.812
2600,-1095088.844,1286273.812
2700,-1093448.844,1284633.812
2800,-1091808.844,1282993.812
2900,-1090168.844,1281353.812
3000,-1088528.844,1279713.812
3100,-1086888.844,1278073.812
3200,-1085248.844,1276433.812
3300,-1083608.844,1274793.812
3400,-1081968.844,1273153.812
3500,-1080328.844,1271513.812
3600,-1078688.844,1269873.812
3700,-1077048.844,1268233.812
3800,-1075408.844,1266593.812
3900,-1073768.8439999998,1264953.812
4000,-1072128.8439999998,1263313.812
4100,-1070488.8439999998,1261673.812
4200,-1068848.8439999998,1260033.812
4300,-1067208.8439999998,1258393.812
4400,-1065568.8439999998,1256753.812
4500,-1063928.8439999998,1255113.812
4600,-1062288.8439999998,1253473.812
4700,-1060648.8439999998,1251833.812
4800,-1059008.8439999998,1250193.812
4900,-1057368.8439999998,1248553.812
5000,-1055728.8439999998,1246913.812
5100,-1054088.8439999998,1245273.812
5200,-1052448.8439999998,1243633.812
5300,-1050808.8439999998,1241993.812
5400,-1049168.8439999998,1240353.812
5500,-1047528.8439999999,1238713.812
5600,-1045888.8439999999,1237073.812
5700,-1044248.8439999999,1235433.812
5800,-1042608.8439999999,1233793.812
5900,-1040968.8439999999,1232153.812
6000,-1039328.8439999999,1230513.812
6100,-1037688.8439999999,1228873.812
6200,-1036048.8439999999,1227233.812
6300,-1034408.8439999999,1225593.812
6400,-1032768.8439999999,1223953.812
6500,-1031128.8439999999,1222313.812
6600,-1029488.8439999999,1220673.812
6700,-1027848.8439999999,1219033.812
6800,-1026208.8439999999,1217393.812
6900,-1024568.8439999999,1215753.812
7000,-1022928.8439999999,1214113.812
7100,-1021288.8439999999,1212473.812
7200,-1019648.8439999999,1210833.812
7300,-1018008.8439999999,1209193.812
7400,-1016368.8439999999,1207553.812
7500,-1014728.8439999999,1205913.812
7600,-1013088.8439999999,1204273.812
7700,-1011448.8439999999,1202633.812
7800,-1009808.8439999999,1200993.812
7900,-1008168.8439999999,1199353.812
8000,-1006528.8439999999,1197713.812
8100,-1004888.8439999999,1196073.812
8200,-1003248.8439999999,1194433.812
8300,-1001608.8439999999,1192793.812
8400,-999968.8439999999,1191153.812
8500,-998328.8439999999,1189513.812
8600,-996688.8439999999,1187873.812
8700,-995048.8439999999,1186233.812
8800,-993408.8439999999,1184593.812
8900,-991768.8439999999,1182953.812
9000,-990128.8439999999,1181313.812
9100,-988488.8439999999,1179673.812
9200,-986848.8439999999,1178033.812
9300,-985208.8439999999,1176393.812
9400,-983568.8439999999,1174753.812
9500,-981928.8439999999,1173113.812
9600,-980288.8439999999,1171473.812
9700,-978648.8439999999,1169833.812
9800,-977008.8439999999,1168193.812
9900,-975368.8439999999,1166553.812
10000,-973728.8439999999,1164913.812
